Peak Number,Energy (eV),electron number, atom,ELECTRON
2,1.0374869, 5.39171,1, lithium ionization 1, ELECTRON
5,4.3255964, 5.39171,2, lithium ionization 1, ELECTRON
5,0.3946164, 9.32269,3, beryllium ionization 1, ELECTRON
7,1.0304735, 5.39171,4, lithium ionization 1, ELECTRON
8,4.3200053, 5.39171,5, lithium ionization 1, ELECTRON
8,0.3890253, 9.32269,6, beryllium ionization 1, ELECTRON
10,1.0280513, 5.39171,7, lithium ionization 1, ELECTRON
11,4.3183609, 5.39171,8, lithium ionization 1, ELECTRON
11,0.3873809, 9.32269,9, beryllium ionization 1, ELECTRON
14,4.3188275, 5.39171,10, lithium ionization 1, ELECTRON
14,0.3878475, 9.32269,11, beryllium ionization 1, ELECTRON
15,4.3265120, 5.39171,12, lithium ionization 1, ELECTRON
15,0.3955320, 9.32269,13, beryllium ionization 1, ELECTRON
16,4.3315742, 5.39171,14, lithium ionization 1, ELECTRON
16,0.4005942, 9.32269,15, beryllium ionization 1, ELECTRON
18,4.3411964, 5.39171,16, lithium ionization 1, ELECTRON
18,0.4102164, 9.32269,17, beryllium ionization 1, ELECTRON
20,1.0590558, 5.39171,18, lithium ionization 1, ELECTRON
21,1.0454113, 5.39171,19, lithium ionization 1, ELECTRON
25,4.3435342, 5.39171,20, lithium ionization 1, ELECTRON
25,0.4125542, 9.32269,21, beryllium ionization 1, ELECTRON
27,4.3401697, 5.39171,22, lithium ionization 1, ELECTRON
27,0.4091897, 9.32269,23, beryllium ionization 1, ELECTRON
29,4.3323209, 5.39171,24, lithium ionization 1, ELECTRON
29,0.4013409, 9.32269,25, beryllium ionization 1, ELECTRON
30,4.3309075, 5.39171,26, lithium ionization 1, ELECTRON
30,0.3999275, 9.32269,27, beryllium ionization 1, ELECTRON
31,1.0370202, 5.39171,28, lithium ionization 1, ELECTRON
32,4.3270275, 5.39171,29, lithium ionization 1, ELECTRON
32,0.3960475, 9.32269,30, beryllium ionization 1, ELECTRON
34,1.0372602, 5.39171,31, lithium ionization 1, ELECTRON
35,4.3275653, 5.39171,32, lithium ionization 1, ELECTRON
35,0.3965853, 9.32269,33, beryllium ionization 1, ELECTRON
36,1.0359802, 5.39171,34, lithium ionization 1, ELECTRON
38,4.3485120, 5.39171,35, lithium ionization 1, ELECTRON
38,0.4175320, 9.32269,36, beryllium ionization 1, ELECTRON
39,4.3535475, 5.39171,37, lithium ionization 1, ELECTRON
39,0.4225675, 9.32269,38, beryllium ionization 1, ELECTRON
42,1.0586158, 5.39171,39, lithium ionization 1, ELECTRON
44,4.3441342, 5.39171,40, lithium ionization 1, ELECTRON
44,0.4131542, 9.32269,41, beryllium ionization 1, ELECTRON
46,1.0515802, 5.39171,42, lithium ionization 1, ELECTRON
47,4.3423031, 5.39171,43, lithium ionization 1, ELECTRON
47,0.4113231, 9.32269,44, beryllium ionization 1, ELECTRON
48,1.0475180, 5.39171,45, lithium ionization 1, ELECTRON
49,1.0493535, 5.39171,46, lithium ionization 1, ELECTRON
50,4.3446942, 5.39171,47, lithium ionization 1, ELECTRON
50,0.4137142, 9.32269,48, beryllium ionization 1, ELECTRON
51,4.3454542, 5.39171,49, lithium ionization 1, ELECTRON
51,0.4144742, 9.32269,50, beryllium ionization 1, ELECTRON
54,1.0533758, 5.39171,51, lithium ionization 1, ELECTRON
57,1.0545002, 5.39171,52, lithium ionization 1, ELECTRON
60,4.3503831, 5.39171,53, lithium ionization 1, ELECTRON
60,0.4194031, 9.32269,54, beryllium ionization 1, ELECTRON
61,4.3485786, 5.39171,55, lithium ionization 1, ELECTRON
61,0.4175986, 9.32269,56, beryllium ionization 1, ELECTRON
62,1.0579580, 5.39171,57, lithium ionization 1, ELECTRON
63,4.3414808, 5.39171,58, lithium ionization 1, ELECTRON
63,0.4105008, 9.32269,59, beryllium ionization 1, ELECTRON
65,4.3503475, 5.39171,60, lithium ionization 1, ELECTRON
65,0.4193675, 9.32269,61, beryllium ionization 1, ELECTRON
66,4.3545386, 5.39171,62, lithium ionization 1, ELECTRON
66,0.4235586, 9.32269,63, beryllium ionization 1, ELECTRON
68,4.3585920, 5.39171,64, lithium ionization 1, ELECTRON
68,0.4276120, 9.32269,65, beryllium ionization 1, ELECTRON
69,1.0674113, 5.39171,66, lithium ionization 1, ELECTRON
70,4.3550809, 5.39171,67, lithium ionization 1, ELECTRON
70,0.4241009, 9.32269,68, beryllium ionization 1, ELECTRON
71,1.0610424, 5.39171,69, lithium ionization 1, ELECTRON
72,4.3554275, 5.39171,70, lithium ionization 1, ELECTRON
72,0.4244475, 9.32269,71, beryllium ionization 1, ELECTRON
73,1.0619135, 5.39171,72, lithium ionization 1, ELECTRON
77,1.0714646, 5.39171,73, lithium ionization 1, ELECTRON
78,1.0687402, 5.39171,74, lithium ionization 1, ELECTRON
80,4.3637964, 5.39171,75, lithium ionization 1, ELECTRON
80,0.4328164, 9.32269,76, beryllium ionization 1, ELECTRON
81,1.0745980, 5.39171,77, lithium ionization 1, ELECTRON
82,1.0713313, 5.39171,78, lithium ionization 1, ELECTRON
83,1.0681935, 5.39171,79, lithium ionization 1, ELECTRON
84,4.3575342, 5.39171,80, lithium ionization 1, ELECTRON
84,0.4265542, 9.32269,81, beryllium ionization 1, ELECTRON
85,4.3569831, 5.39171,82, lithium ionization 1, ELECTRON
85,0.4260031, 9.32269,83, beryllium ionization 1, ELECTRON
86,4.3528409, 5.39171,84, lithium ionization 1, ELECTRON
86,0.4218609, 9.32269,85, beryllium ionization 1, ELECTRON
88,1.0606469, 5.39171,86, lithium ionization 1, ELECTRON
89,4.3623520, 5.39171,87, lithium ionization 1, ELECTRON
89,0.4313720, 9.32269,88, beryllium ionization 1, ELECTRON
90,1.0681358, 5.39171,89, lithium ionization 1, ELECTRON
91,1.0689180, 5.39171,90, lithium ionization 1, ELECTRON
92,4.3603386, 5.39171,91, lithium ionization 1, ELECTRON
92,0.4293586, 9.32269,92, beryllium ionization 1, ELECTRON
93,4.3586720, 5.39171,93, lithium ionization 1, ELECTRON
93,0.4276920, 9.32269,94, beryllium ionization 1, ELECTRON
94,4.3620675, 5.39171,95, lithium ionization 1, ELECTRON
94,0.4310875, 9.32269,96, beryllium ionization 1, ELECTRON
95,4.3623875, 5.39171,97, lithium ionization 1, ELECTRON
95,0.4314075, 9.32269,98, beryllium ionization 1, ELECTRON
96,1.0719491, 5.39171,99, lithium ionization 1, ELECTRON
97,1.0688469, 5.39171,100, lithium ionization 1, ELECTRON
99,1.0688913, 5.39171,101, lithium ionization 1, ELECTRON
100,1.0735624, 5.39171,102, lithium ionization 1, ELECTRON
101,4.3640764, 5.39171,103, lithium ionization 1, ELECTRON
101,0.4330964, 9.32269,104, beryllium ionization 1, ELECTRON
102,1.0753802, 5.39171,105, lithium ionization 1, ELECTRON
105,1.0830202, 5.39171,106, lithium ionization 1, ELECTRON
106,1.0842558, 5.39171,107, lithium ionization 1, ELECTRON
107,1.0863358, 5.39171,108, lithium ionization 1, ELECTRON
108,4.3728764, 5.39171,109, lithium ionization 1, ELECTRON
108,0.4418964, 9.32269,110, beryllium ionization 1, ELECTRON
110,4.3678809, 5.39171,111, lithium ionization 1, ELECTRON
110,0.4369009, 9.32269,112, beryllium ionization 1, ELECTRON
111,1.0805358, 5.39171,113, lithium ionization 1, ELECTRON
112,4.3725475, 5.39171,114, lithium ionization 1, ELECTRON
112,0.4415675, 9.32269,115, beryllium ionization 1, ELECTRON
113,1.0827935, 5.39171,116, lithium ionization 1, ELECTRON
114,4.3749120, 5.39171,117, lithium ionization 1, ELECTRON
114,0.4439320, 9.32269,118, beryllium ionization 1, ELECTRON
115,1.0894469, 5.39171,119, lithium ionization 1, ELECTRON
116,1.0870913, 5.39171,120, lithium ionization 1, ELECTRON
117,1.0872513, 5.39171,121, lithium ionization 1, ELECTRON
120,4.3900942, 5.39171,122, lithium ionization 1, ELECTRON
120,0.4591142, 9.32269,123, beryllium ionization 1, ELECTRON
121,1.0991935, 5.39171,124, lithium ionization 1, ELECTRON
123,1.1034558, 5.39171,125, lithium ionization 1, ELECTRON
124,1.1056158, 5.39171,126, lithium ionization 1, ELECTRON
125,1.1064735, 5.39171,127, lithium ionization 1, ELECTRON
127,1.1066869, 5.39171,128, lithium ionization 1, ELECTRON
128,1.1080469, 5.39171,129, lithium ionization 1, ELECTRON
130,4.3953209, 5.39171,130, lithium ionization 1, ELECTRON
130,0.4643409, 9.32269,131, beryllium ionization 1, ELECTRON
132,4.3898320, 5.39171,132, lithium ionization 1, ELECTRON
132,0.4588520, 9.32269,133, beryllium ionization 1, ELECTRON
133,4.3904764, 5.39171,134, lithium ionization 1, ELECTRON
133,0.4594964, 9.32269,135, beryllium ionization 1, ELECTRON
135,4.3848764, 5.39171,136, lithium ionization 1, ELECTRON
135,0.4538964, 9.32269,137, beryllium ionization 1, ELECTRON
136,4.3883609, 5.39171,138, lithium ionization 1, ELECTRON
136,0.4573809, 9.32269,139, beryllium ionization 1, ELECTRON
137,4.3862942, 5.39171,140, lithium ionization 1, ELECTRON
137,0.4553142, 9.32269,141, beryllium ionization 1, ELECTRON
139,1.0903269, 5.39171,142, lithium ionization 1, ELECTRON
144,1.0909446, 5.39171,143, lithium ionization 1, ELECTRON
145,4.3836942, 5.39171,144, lithium ionization 1, ELECTRON
145,0.4527142, 9.32269,145, beryllium ionization 1, ELECTRON
146,1.0928869, 5.39171,146, lithium ionization 1, ELECTRON
147,1.0913002, 5.39171,147, lithium ionization 1, ELECTRON
149,1.0893758, 5.39171,148, lithium ionization 1, ELECTRON
150,1.0905402, 5.39171,149, lithium ionization 1, ELECTRON
