Peak Number,Amplitude,Period (ns),Frequency (Hz),Energy (eV), Photons Flux in J/s
1,67,0.0008000084211412751,7499921052631.579,3.4563595,1.5065603977671728e+22
2,64,0.0006000063158559563,9999894736842.105,1.0374869,1.0309987841258086e+22
3,47,0.0012000126317119127,4999947368421.053,1.0374869,1.1120489815106988e+22
4,65,0.0012000126317119127,4999947368421.053,1.0374869,2.1269384096345416e+22
5,81,0.0004000042105706371,14999842105263.176,0.3946164,1.100973799259346e+22
6,62,0.0010000105264265941,5999936842105.263,0.3946164,1.6126136581134475e+22
7,70,0.0006000063158559561,9999894736842.11,1.0304735,1.233372568900503e+22
8,65,0.000400004210570638,14999842105263.143,0.3890253,7.089794698781813e+21
9,66,0.0008000084211412751,7499921052631.579,0.3890253,1.4619240571783927e+22
10,50,0.0006000063158559561,9999894736842.11,1.0280513,6.292717188267873e+21
11,53,0.0004000042105706371,14999842105263.176,0.3873809,4.7136646884918506e+21
12,61,0.000800008421141276,7499921052631.571,0.3873809,1.248810701735722e+22
13,72,0.0008000084211412743,7499921052631.588,0.3873809,1.7398104482123e+22
14,67,0.000400004210570638,14999842105263.143,0.3878475,7.532801988835872e+21
15,45,0.000400004210570638,14999842105263.143,0.3955320,3.398067281664656e+21
16,73,0.000400004210570638,14999842105263.143,0.4005942,8.942370639007878e+21
17,59,0.0012000126317119122,4999947368421.055,0.4005942,1.752395882588837e+22
18,73,0.000400004210570638,14999842105263.143,0.4102164,8.942370639007878e+21
19,62,0.0012000126317119122,4999947368421.055,0.4102164,1.935136389736136e+22
20,63,0.0006000063158559561,9999894736842.11,1.0590558,9.990317808094074e+21
21,57,0.0006000063158559561,9999894736842.11,1.0454113,8.178015257872927e+21
22,75,0.0008000084211412743,7499921052631.588,1.0454113,1.8878151564803602e+22
23,76,0.000800008421141276,7499921052631.571,1.0454113,1.938492505569882e+22
24,72,0.000800008421141276,7499921052631.571,1.0454113,1.739810448212304e+22
25,82,0.00040000421057063626,14999842105263.207,0.4125542,1.128326143304348e+22
26,55,0.000800008421141276,7499921052631.571,0.4125542,1.0152250397072183e+22
27,65,0.00040000421057063626,14999842105263.207,0.4091897,7.089794698781783e+21
28,67,0.0010000105264265959,5999936842105.252,0.4091897,1.8832004972089694e+22
29,75,0.00040000421057063626,14999842105263.207,0.4013409,9.439075782401781e+21
30,49,0.00040000421057063973,14999842105263.078,0.3999275,4.029017058408333e+21
31,69,0.0006000063158559561,9999894736842.11,1.0370202,1.1983850613337336e+22
32,64,0.00040000421057063626,14999842105263.207,0.3960475,6.873325227505368e+21
33,57,0.0010000105264265924,5999936842105.272,0.3960475,1.3630025429788194e+22
34,73,0.0006000063158559561,9999894736842.11,1.0372602,1.3413555958511795e+22
35,72,0.00040000421057063973,14999842105263.078,0.3965853,8.699052241061557e+21
36,56,0.0006000063158559561,9999894736842.11,1.0359802,7.893584440963219e+21
37,61,0.000800008421141276,7499921052631.571,1.0359802,1.248810701735722e+22
38,62,0.00040000421057063626,14999842105263.207,0.4175320,6.450454632453768e+21
39,52,0.00040000421057063626,14999842105263.207,0.4225675,4.537468607220341e+21
40,56,0.0010000105264265959,5999936842105.252,0.4225675,1.315597406827206e+22
41,61,0.0010000105264265924,5999936842105.272,0.4225675,1.5610133771696483e+22
42,53,0.0006000063158559561,9999894736842.11,1.0586158,7.070497032737781e+21
43,71,0.0010000105264265959,5999936842105.252,1.0586158,2.1147724897372273e+22
44,60,0.00040000421057063626,14999842105263.207,0.4131542,6.04100850073714e+21
45,61,0.000800008421141276,7499921052631.571,0.4131542,1.248810701735722e+22
46,54,0.0006000063158559527,9999894736842.168,1.0515802,7.339825328395603e+21
47,65,0.00040000421057063973,14999842105263.078,0.4113231,7.089794698781844e+21
48,65,0.0006000063158559596,9999894736842.05,1.0475180,1.0634692048172767e+22
49,69,0.0006000063158559527,9999894736842.168,1.0493535,1.1983850613337265e+22
50,73,0.00040000421057063973,14999842105263.078,0.4137142,8.942370639007916e+21
51,54,0.00040000421057063973,14999842105263.078,0.4144742,4.893216885597125e+21
52,53,0.0010000105264265924,5999936842105.272,0.4144742,1.178416172122962e+22
53,60,0.0010000105264265924,5999936842105.272,0.4144742,1.5102521251842874e+22
54,55,0.0006000063158559596,9999894736842.05,1.0533758,7.61418779780417e+21
55,66,0.0010000105264265924,5999936842105.272,1.0533758,1.8274050714729877e+22
56,69,0.0008000084211412725,7499921052631.604,1.0533758,1.5978467484449735e+22
57,60,0.0006000063158559596,9999894736842.05,1.0545002,9.06151275110579e+21
58,67,0.0008000084211412725,7499921052631.604,1.0545002,1.506560397767168e+22
59,60,0.0010000105264265924,5999936842105.272,1.0545002,1.5102521251842874e+22
